UA2017_NAME;SSA2018_AREA
Alexandra urban area;area_3
Amberley urban area;area_2
Arrowtown urban area;area_1
Ashburton urban area;area_2
Awhitu area unit;area_2
Blenheim urban area;area_2
Bombay area unit;area_1
Brightwater urban area;area_2
Cambridge urban zone;area_2
Cape Rodney area unit;area_2
Cape Rodney South area unit;area_2
Carterton urban area;area_3
Central Auckland urban zone;area_1
Christchurch urban area;area_2
Clevedon area unit;area_1
Cloustonville area unit;area_3
Coromandel urban area;area_3
Cromwell urban area;area_2
Darfield urban area;area_2
Dargaville urban area;area_3
Dunedin urban area;area_3
Edgecumbe urban area;area_3
Feilding urban area;area_3
Geraldine urban area;area_3
Gisborne urban area;area_3
Glenbrook area unit;area_1
Great Barrier Island area unit;area_2
Greymouth urban area;area_3
Greytown urban area;area_3
Hamilton urban zone;area_2
Hanmer Springs area unit;area_3
Hastings urban zone;area_2
Hawera urban area;area_3
Helensville South area unit;area_1
Helensville urban area;area_1
Hokitika urban area;area_3
Huntly urban area;area_3
Hunua area unit;area_1
Inglewood urban area;area_3
Islands–Motutapu, Rangitoto, Rakino area unit;area_2
Kaiaua area unit;area_2
Kaikohe urban area;area_3
Kaikoura urban area;area_3
Kaitaia urban area;area_3
Kapiti Island area unit;area_3
Kapiti urban area;area_2
Karekare area unit;area_1
Katikati Community urban area;area_2
Kaukapakapa area unit;area_1
Kaukapakapa rural area unit;area_1
Kauwhata area unit;area_3
Kawakawa urban area;area_3
Kawakawa–Orere area unit;area_2
Kawau area unit;area_2
Kerikeri urban area;area_2
Kingseat area unit;area_1
Leeston urban area;area_2
Leigh area unit;area_2
Levin urban area;area_3
Lincoln urban area;area_2
Little Barrier Island area unit;area_2
Lower Hutt urban zone;area_2
Mahurangi area unit;area_1
Makara–Ohariu area unit;area_2
Mana Island area unit;area_3
Mangaroa area unit;area_3
Mangatawhiri area unit;area_2
Mangawhai area unit;area_2
Mangawhai Heads urban area;area_2
Mapua urban area;area_2
Maramarua area unit;area_2
Martinborough urban area;area_3
Masterton urban area;area_3
Matakana area unit;area_2
Matamata urban area;area_2
Matheson Bay area unit;area_2
Maungakotukutuku area unit;area_3
Meremere area unit;area_2
Methven urban area;area_3
Moonshine Valley area unit;area_2
Morrinsville urban area;area_3
Motueka urban area;area_2
Muriwai Beach area unit;area_1
Muriwai Valley area unit;area_1
Napier urban zone;area_2
Nelson urban area;area_2
New Plymouth urban area;area_2
Ngatea urban area;area_3
Ngunguru urban area;area_2
Northern Auckland urban zone;area_1
Oamaru urban area;area_3
Omaha area unit;area_2
Onewhero area unit;area_2
Opiki area unit;area_3
Otaki urban area;area_3
Otaua area unit;area_2
Otorohanga urban area;area_3
Oxford urban area;area_2
Paekakariki Hill area unit;area_3
Paeroa urban area;area_3
Paihia urban area;area_3
Palmerston North urban area;area_3
Paparata area unit;area_2
Parakai rural area unit;area_2
Parakai urban area unit;area_1
Patumahoe area unit;area_1
Pencarrow area unit;area_3
Picton urban area;area_3
Pleasant Point urban area;area_3
Point Wells area unit;area_2
Pokeno area unit;area_1
Porirua urban zone;area_2
Pukekohe urban area;area_1
Queenstown urban area;area_1
Raglan urban area;area_2
Rakaia urban area;area_2
Rangiora urban area;area_2
Rapaura area unit;area_2
Rewiti area unit;area_1
Riverhead area unit;area_1
Rolleston urban area;area_2
Rotorua urban area;area_3
Russell area unit;area_3
Shannon urban area;area_3
Snells Beach urban area;area_1
South Head area unit;area_2
Southern Auckland urban zone;area_1
Tahekeroa area unit;area_1
Taipa Bay–Mangonui urban area;area_3
Tairua urban area;area_3
Takaka urban area;area_3
Tauhoa–Puhoi area unit;area_2
Taupo urban area;area_2
Tauranga urban area;area_1
Te Aroha urban area;area_3
Te Awamutu urban zone;area_2
Te Kauwhata urban area;area_2
Te Puke Community urban area;area_2
Temuka urban area;area_3
Thames urban area;area_3
Timaru urban area;area_3
Tokomaru area unit;area_3
Tokorangi–Hiwinui area unit;area_3
Twizel Community urban area;area_3
Upper Hutt urban zone;area_2
Waiheke Island urban area;area_1
Waihi Beach urban area;area_2
Waihi urban area;area_3
Waikouaiti urban area;area_3
Waipawa urban area;area_3
Waitakere West area unit;area_1
Waitara urban area;area_3
Waiuku urban area;area_1
Wakefield urban area;area_2
Wanaka urban area;area_1
Warkworth urban area;area_1
Wellington urban zone;area_2
Wellsford urban area;area_2
Western Auckland urban zone;area_1
Whakatane urban area;area_3
Whangamata urban area;area_2
Whangarei urban area;area_2
Whitianga urban area;area_2
Winton urban area;area_3
Woodend urban area;area_2
